Station_Event_ID,Catch_ID,Specimen_ID,Alternative_ID,Species_Recorded,Scientific_Name,Taxonomic_rank,common_name,Sex,Lifestage,Specimen_Length,Size_class_mm,Number_measured,Length_Type,Specimen_Length2,Length_Type2,Length_Units,Specimen_Weight,Specimen_Weight2,Weight_Units,Weight_Type,Comments,Stomach_fullness,Gonad_weight_grams,Fin_clip,Marks/Scars,Visceral adhesion,Gill,Scale book,Scale num,DNA,Head,Gonad,Liver,Muscle(-20),Muscle(-80),Note,Barcode number
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-46,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,345,1,1,Fork length,330,Standard length,Millimetres,470,430,Grams,Wet weight,NA,1,5,–,–,–,–,3,31-35,Sock-23,TIN-22_281,TIN-22_117,TIN-22_28,T22-171,T22-172,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-47,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,324,1,1,Fork length,306,Standard length,Millimetres,354,328,Grams,Wet weight,NA,1,1,–,–,–,–,3,36-40,Sock-24,TIN-22_33,TIN-22_258,TIN-22_29,T22-170,T22-169,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-59,IYS2022-TINRO-3-10-Trawl-59-48,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Male,Juvenile,289,1,1,Fork length,275,Standard length,Millimetres,256,234,Grams,Wet weight,NA,1,NA,–,–,–,–,4,1-5,Sock-25,TIN-22_24,–,TIN-22_46,T22-168,T22-167,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-49,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Male,immature,415,1,1,Fork length,393,Standard length,Millimetres,790,742,Grams,Wet weight,NA,1,NA,–,–,1,–,4,6-10,Sock-26,TIN-22_127,–,TIN-22_44,T22-166,T22-165,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-50,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,376,1,1,Fork length,357,Standard length,Millimetres,493,453,Grams,Wet weight,NA,1,3,–,–,–,–,4,11-15,Sock-27,TIN-22_45,TIN-22_174,TIN-22_85,T22-164,T22-163,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-51,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,321,1,1,Fork length,305,Standard length,Millimetres,323,304,Grams,Wet weight,NA,1,1,–,–,–,–,4,16-20,Sock-28,TIN-22_13,TIN-22_57,TIN-22_18,T22-161,T22-162,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-52,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,321,1,1,Fork length,308,Standard length,Millimetres,337,311,Grams,Wet weight,NA,1,1,–,–,–,–,4,21-25,Sock-29,TIN-22_25,TIN-22_40,TIN-22_39,T22-160,T22-190,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-53,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Male,immature,373,1,1,Fork length,355,Standard length,Millimetres,546,508,Grams,Wet weight,NA,1,NA,–,–,–,–,4,26-30,Sock-30,TIN-22_16,–,TIN-22_173,T22-191,T22-192,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-54,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,343,1,1,Fork length,325,Standard length,Millimetres,409,375,Grams,Wet weight,NA,1,4,–,–,–,–,4,31-35,Sock-31,TIN-22_38,TIN-22_172,TIN-22_128,T22-135,T22-142,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-55,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,384,1,1,Fork length,364,Standard length,Millimetres,579,542,Grams,Wet weight,NA,1,5,–,–,–,–,4,36-40,Sock-32,TIN-22_153,TIN-22_170,TIN-22_175,T22-217,T22-152,NP Scale,NA
