station_event_id,original_event_id,catch_id,original_catch_id,specimen_id,original_specimen_id,verbatim_identification,species_recorded,common_name,scientific_name,scientific_name_id,lifestage,sex,taxonomic_rank,size_class_mm,number_measured,specimen_length,specimen_length_units,length_type,specimen_length2,specimen_length2_units,length_type2,specimen_weight,specimen_weight2,weight_units,weight_type,marks_scars,visceral_adhesion,comments
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-29,,IYS2022-TINRO-3-4-Trawl-29-27,Coho-7,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,male,species,1,1,350,Millimeters,Fork Length,328,Millimeters,Standard length,422,384,Grams,Wet weight,-,no,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-29,,IYS2022-TINRO-3-4-Trawl-29-28,Coho-8,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,female,species,1,1,366,Millimeters,Fork Length,340,Millimeters,Standard length,547,500,Grams,Wet weight,-,no,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-29,,IYS2022-TINRO-3-4-Trawl-29-29,Coho-9,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,male,species,1,1,349,Millimeters,Fork Length,327,Millimeters,Standard length,464,433,Grams,Wet weight,-,no,
IYS2022-TINRO-3-4-Trawl,,IYS2022-TINRO-3-4-Trawl-29,,IYS2022-TINRO-3-4-Trawl-29-30,Coho-10,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,male,species,1,1,359,Millimeters,Fork Length,337,Millimeters,Standard length,462,414,Grams,Wet weight,-,no,
IYS2022-TINRO-3-5-Trawl,,IYS2022-TINRO-3-5-Trawl-34,,IYS2022-TINRO-3-5-Trawl-34-31,Coho-11,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,female,species,1,1,359,Millimeters,Fork Length,336,Millimeters,Standard length,478,417,Grams,Wet weight,SL-3-V-R,no,
IYS2022-TINRO-3-7-Trawl,,IYS2022-TINRO-3-7-Trawl-43,,IYS2022-TINRO-3-7-Trawl-43-32,Coho-12,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,male,species,1,1,410,Millimeters,Fork Length,382,Millimeters,Standard length,779,710,Grams,Wet weight,-,no,
IYS2022-TINRO-3-8-Trawl,,IYS2022-TINRO-3-8-Trawl-46,,IYS2022-TINRO-3-8-Trawl-46-33,Chum-3,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,immature,male,species,1,1,327,Millimeters,Fork Length,309,Millimeters,Standard length,308,271,Grams,Wet weight,–,no,
IYS2022-TINRO-3-8-Trawl,,IYS2022-TINRO-3-8-Trawl-47,,IYS2022-TINRO-3-8-Trawl-47-34,Coho-13,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,male,species,1,1,345,Millimeters,Fork Length,326,Millimeters,Standard length,411,380,Grams,Wet weight,-,no,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-48,,IYS2022-TINRO-3-9-Trawl-48-35,Chum-4,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,immature,female,species,1,1,342,Millimeters,Fork Length,324,Millimeters,Standard length,349,311,Grams,Wet weight,–,no,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-49,,IYS2022-TINRO-3-9-Trawl-49-36,Pink-3,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,juvenile,female,species,1,1,257,Millimeters,Fork Length,238,Millimeters,Standard length,155,124,Grams,Wet weight,-,no,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-49,,IYS2022-TINRO-3-9-Trawl-49-37,Pink-4,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,juvenile,male,species,1,1,239,Millimeters,Fork Length,222,Millimeters,Standard length,117,,Grams,Wet weight,-,no,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-50,,IYS2022-TINRO-3-9-Trawl-50-38,Chin-2,Oncorhynchus tschawytscha,,Chinook Salmon,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,immature,male,species,1,1,473,Millimeters,Fork Length,445,Millimeters,Standard length,1344,1242,Grams,Wet weight,-,no,
IYS2022-TINRO-3-9-Trawl,,IYS2022-TINRO-3-9-Trawl-50,,IYS2022-TINRO-3-9-Trawl-50-39,Chin-3,Oncorhynchus tschawytscha,,Chinook Salmon,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,immature,female,species,1,1,445,Millimeters,Fork Length,421,Millimeters,Standard length,931,867,Grams,Wet weight,SL3VR,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-40,Sock-17,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,411,Millimeters,Fork Length,384,Millimeters,Standard length,781,728,Grams,Wet weight,–,yes,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-41,Sock-18,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,380,Millimeters,Fork Length,359,Millimeters,Standard length,556,515,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-42,Sock-19,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,389,Millimeters,Fork Length,369,Millimeters,Standard length,596,561,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-43,Sock-20,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,379,Millimeters,Fork Length,359,Millimeters,Standard length,568,526,Grams,Wet weight,–,yes,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-44,Sock-21,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,405,Millimeters,Fork Length,384,Millimeters,Standard length,711,650,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-45,Sock-22,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,345,Millimeters,Fork Length,326,Millimeters,Standard length,364,,Grams,Wet weight,–,yes,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-46,Sock-23,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,345,Millimeters,Fork Length,330,Millimeters,Standard length,470,430,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-47,Sock-24,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,324,Millimeters,Fork Length,306,Millimeters,Standard length,354,328,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-59,,IYS2022-TINRO-3-10-Trawl-59-48,Sock-25,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,juvenile,male,species,1,1,289,Millimeters,Fork Length,275,Millimeters,Standard length,256,234,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-49,Sock-26,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,415,Millimeters,Fork Length,393,Millimeters,Standard length,790,742,Grams,Wet weight,–,yes,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-50,Sock-27,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,376,Millimeters,Fork Length,357,Millimeters,Standard length,493,453,Grams,Wet weight,–,no,
