eventID,type,parentEventID,eventRemarks,eventDate,year,month,day,decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,coordinateUncertaintyInMeters,geodeticDatum
IYS:GoA2019:Stn37,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn38,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn40,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn41,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn42,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn43,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn44,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn45,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn46,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn47,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn48,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn49,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn50,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn51,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn52,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn53,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn54,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn55,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn56,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn57,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn58,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn59,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn60,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn1:bongo:Net1,bongo net cast,IYS:GoA2019:Stn1,cast,2019-02-18T21:30:00Z,2019,2,18,48.301166666666667,-128.52266666666668,250,0,POINT  ( -128.52266666666668   48.301166666666667 ),0,WGS84
IYS:GoA2019:Stn1:bongo:Net2,bongo net cast,IYS:GoA2019:Stn1,cast,2019-02-18T21:30:00Z,2019,2,18,48.301166666666667,-128.52266666666668,250,0,POINT  ( -128.52266666666668   48.301166666666667 ),0,WGS84
IYS:GoA2019:Stn2:bongo:Net1,bongo net cast,IYS:GoA2019:Stn2,cast,2019-02-19T07:05:00Z,2019,2,19,48.18333333333333,-129.91666666666666,250,0,POINT  ( -129.91666666666666   48.18333333333333 ),0,WGS84
IYS:GoA2019:Stn2:bongo:Net2,bongo net cast,IYS:GoA2019:Stn2,cast,2019-02-19T07:05:00Z,2019,2,19,48.18333333333333,-129.91666666666666,250,0,POINT  ( -129.91666666666666   48.18333333333333 ),0,WGS84
IYS:GoA2019:Stn3:bongo:Net1,bongo net cast,IYS:GoA2019:Stn3,cast,2019-02-21T08:21:00Z,2019,2,21,47.666666666666664,-136.99666666666667,250,0,POINT  ( -136.99666666666667   47.666666666666664 ),0,WGS84
IYS:GoA2019:Stn3:bongo:Net2,bongo net cast,IYS:GoA2019:Stn3,cast,2019-02-21T08:21:00Z,2019,2,21,47.666666666666664,-136.99666666666667,250,0,POINT  ( -136.99666666666667   47.666666666666664 ),0,WGS84
IYS:GoA2019:Stn4:bongo:Net1,bongo net cast,IYS:GoA2019:Stn4,cast,2019-02-21T18:30:00Z,2019,2,21,47.661666666666669,-138.5,250,0,POINT  ( -138.5   47.661666666666669 ),0,WGS84
IYS:GoA2019:Stn4:bongo:Net2,bongo net cast,IYS:GoA2019:Stn4,cast,2019-02-21T18:30:00Z,2019,2,21,47.661666666666669,-138.5,250,0,POINT  ( -138.5   47.661666666666669 ),0,WGS84
IYS:GoA2019:Stn5:bongo:Net1,bongo net cast,IYS:GoA2019:Stn5,cast,2019-02-22T07:00:00Z,2019,2,22,47.666666666666664,-140,250,0,POINT  ( -140   47.666666666666664 ),0,WGS84
